Table S7E. Region-level continuous HSF relative-score metrics for the revised comparison universe.								
								
Region ID	Region class	Chromosome	Start	End	Width (bp)	Maximum HSF relative PWM score	Mean top-five HSF relative PWM score	Median per-model maximum HSF score
BG_LTR_like_00069	Strict non-ONSEN TE background	Chr1	846664	847739	1076	0.902210321904238	0.882755196105363	0.861457373323169
BG_LTR_like_00321	Strict non-ONSEN TE background	Chr1	1899519	1899767	249	0.892242353455546	0.874199326126872	0.815278700401587
BG_LTR_like_00382	Strict non-ONSEN TE background	Chr1	2157095	2157660	566	0.908452927585686	0.897399564392548	0.854691423901801
BG_LTR_like_00544	Strict non-ONSEN TE background	Chr1	3895094	3897046	1953	1	0.96130963579601	0.898572218047703
BG_LTR_like_00545	Strict non-ONSEN TE background	Chr1	3925331	3926124	794	1	0.948534010707025	0.876633079529187
BG_LTR_like_00598	Strict non-ONSEN TE background	Chr1	4071378	4071831	454	0.863342624406677	0.819435715622868	0.772626597135487
BG_LTR_like_00976	Strict non-ONSEN TE background	Chr1	5784963	5785335	373	0.938823665407958	0.866725709469613	0.780445167937838
BG_LTR_like_00977	Strict non-ONSEN TE background	Chr1	5797692	5797910	219	0.879892100731311	0.855920839019809	0.7871267787302
BG_LTR_like_00988	Strict non-ONSEN TE background	Chr1	6302582	6303156	575	0.908452927585686	0.897893640049399	0.845459840209739
BG_LTR_like_01007	Strict non-ONSEN TE background	Chr1	6478132	6478451	320	0.997057323853935	0.973699359688308	0.834708432098544
BG_LTR_like_01035	Strict non-ONSEN TE background	Chr1	6719325	6720759	1435	0.892554193769558	0.872815084019032	0.824013179720772
BG_LTR_like_01083	Strict non-ONSEN TE background	Chr1	6880492	6880695	204	0.864690533212838	0.80689641045523	0.736489940459543
BG_LTR_like_01139	Strict non-ONSEN TE background	Chr1	7163108	7163343	236	0.845263083548806	0.817028181430859	0.76562086631412
BG_LTR_like_01218	Strict non-ONSEN TE background	Chr1	7742722	7742941	220	0.776365259444486	0.761730079150333	0.736825601579514
BG_LTR_like_01304	Strict non-ONSEN TE background	Chr1	8043908	8044269	362	0.879892100731311	0.860894039784362	0.777831722816309
BG_LTR_like_01309	Strict non-ONSEN TE background	Chr1	8160056	8160565	510	0.908452927585686	0.905095897332479	0.855830494832363
BG_LTR_like_01341	Strict non-ONSEN TE background	Chr1	8515352	8515706	355	0.957552433785568	0.905083302472428	0.825080373547752
BG_LTR_like_01399	Strict non-ONSEN TE background	Chr1	8919856	8920080	225	0.997057323853935	0.977107652385902	0.843575640590883
BG_LTR_like_01400	Strict non-ONSEN TE background	Chr1	9001441	9001749	309	0.997057323853935	0.972986568665514	0.812173124150046
BG_LTR_like_01528	Strict non-ONSEN TE background	Chr1	9902092	9902764	673	0.925362625658487	0.901164444496598	0.822435284241832
BG_LTR_like_01529	Strict non-ONSEN TE background	Chr1	9907902	9908868	967	1	0.947957702594126	0.871917639908381
BG_LTR_like_01530	Strict non-ONSEN TE background	Chr1	9909363	9909762	400	0.869958237282281	0.847618287432676	0.813902028556792
BG_LTR_like_01531	Strict non-ONSEN TE background	Chr1	9910964	9911199	236	0.803637957187297	0.779442055002268	0.766431851695413
BG_LTR_like_01532	Strict non-ONSEN TE background	Chr1	9928214	9928416	203	0.81587547299154	0.800716535723178	0.777425311962363
BG_LTR_like_01685	Strict non-ONSEN TE background	Chr1	10315443	10315738	296	0.881197659310315	0.847573344520648	0.809983955547937
BG_LTR_like_01751	Strict non-ONSEN TE background	Chr1	10522218	10522868	651	0.925362625658487	0.898787377645389	0.843554088218299
BG_LTR_like_01759	Strict non-ONSEN TE background	Chr1	10675534	10675818	285	0.877202267735525	0.866954843127077	0.836022489843541
BG_LTR_like_01760	Strict non-ONSEN TE background	Chr1	10714644	10714869	226	0.802603873995725	0.780123775947229	0.762033388299402
BG_LTR_like_01834	Strict non-ONSEN TE background	Chr1	10966907	10968878	1972	0.914982098538431	0.893717212418088	0.845560325349463
BG_LTR_like_01871	Strict non-ONSEN TE background	Chr1	11178291	11178953	663	0.930146493599341	0.921711217476379	0.905028274483987
BG_LTR_like_01872	Strict non-ONSEN TE background	Chr1	11239005	11239335	331	1	0.97333450313532	0.947919063019563
BG_LTR_like_01873	Strict non-ONSEN TE background	Chr1	11295414	11295628	215	0.866879652016432	0.843800275773699	0.788606840807258
BG_LTR_like_01994	Strict non-ONSEN TE background	Chr1	11623858	11624130	273	0.815882566959062	0.784253384224395	0.752696188973727
BG_LTR_like_02021	Strict non-ONSEN TE background	Chr1	11861677	11861876	200	0.844867497354043	0.807885591788596	0.749370252410743
BG_LTR_like_02057	Strict non-ONSEN TE background	Chr1	12001559	12001782	224	0.840583083439692	0.823895001691263	0.816755490467282
BG_LTR_like_02071	Strict non-ONSEN TE background	Chr1	12031581	12033193	1613	0.914982098538431	0.895065346665556	0.848827463842285
BG_LTR_like_02081	Strict non-ONSEN TE background	Chr1	12099153	12099373	221	0.811198319174869	0.799388726506004	0.766891585315322
BG_LTR_like_02102	Strict non-ONSEN TE background	Chr1	12155317	12155791	475	0.997057323853935	0.976074365237675	0.908681034267191
BG_LTR_like_02114	Strict non-ONSEN TE background	Chr1	12252752	12253031	280	0.877148587339202	0.845913587660558	0.717455602510476
BG_LTR_like_02135	Strict non-ONSEN TE background	Chr1	12276389	12276648	260	0.920690443389928	0.902739656516331	0.852073160056268
BG_LTR_like_02136	Strict non-ONSEN TE background	Chr1	12281845	12282217	373	0.830279101540242	0.814553692451583	0.786217753720862
BG_LTR_like_02139	Strict non-ONSEN TE background	Chr1	12296790	12297054	265	0.952897619800017	0.927748858243376	0.899805719753364
BG_LTR_like_02143	Strict non-ONSEN TE background	Chr1	12410498	12411549	1052	0.957552433785568	0.932912793950313	0.891888618563342
BG_LTR_like_02144	Strict non-ONSEN TE background	Chr1	12412843	12413622	780	0.914982098538431	0.889140320458286	0.824408031291137
BG_LTR_like_02145	Strict non-ONSEN TE background	Chr1	12413662	12415420	1759	0.894990544126474	0.887806744137035	0.856114572611265
BG_LTR_like_02152	Strict non-ONSEN TE background	Chr1	12513239	12513824	586	1	0.952432264124485	0.921449955719999
BG_LTR_like_02159	Strict non-ONSEN TE background	Chr1	12615152	12615790	639	0.87998285625761	0.861600065682598	0.846845220434041
BG_LTR_like_02160	Strict non-ONSEN TE background	Chr1	12622258	12622537	280	0.883921890485864	0.865886388196313	0.814104690436903
BG_LTR_like_02161	Strict non-ONSEN TE background	Chr1	12640891	12642416	1526	1	0.967788840599164	0.92303355743638
BG_LTR_like_02164	Strict non-ONSEN TE background	Chr1	12710570	12710841	272	0.877148587339202	0.842922131988657	0.784108117390967
BG_LTR_like_02169	Strict non-ONSEN TE background	Chr1	12753512	12755059	1548	0.925362625658487	0.899353032512772	0.866410976233333
BG_LTR_like_02172	Strict non-ONSEN TE background	Chr1	12840228	12841118	891	0.914982098538431	0.891001104227514	0.845444228655135
BG_LTR_like_02176	Strict non-ONSEN TE background	Chr1	12847931	12849661	1731	0.914982098538431	0.897248212755414	0.873491452740919
BG_LTR_like_02181	Strict non-ONSEN TE background	Chr1	12926601	12926810	210	0.841021656029689	0.819733514776763	0.779674848943615
BG_LTR_like_02182	Strict non-ONSEN TE background	Chr1	12949477	12949708	232	0.891121997334276	0.864170154579069	0.827523949547878
BG_LTR_like_02185	Strict non-ONSEN TE background	Chr1	12990125	12990931	807	0.856487351505556	0.840323485649657	0.817997966188672
BG_LTR_like_02189	Strict non-ONSEN TE background	Chr1	13021229	13022484	1256	0.920690443389928	0.912515369558466	0.862951586300106
BG_LTR_like_02190	Strict non-ONSEN TE background	Chr1	13027735	13027937	203	0.837109628874873	0.813664316088683	0.783055330719988
BG_LTR_like_02191	Strict non-ONSEN TE background	Chr1	13028440	13028711	272	0.841656161985312	0.822770556966535	0.790721765358615
BG_LTR_like_02192	Strict non-ONSEN TE background	Chr1	13046855	13047855	1001	0.978131699864756	0.946735142536655	0.885408739305004
BG_LTR_like_02202	Strict non-ONSEN TE background	Chr1	13121566	13122033	468	0.844337608750266	0.830410607406418	0.803442779843117
BG_LTR_like_02231	Strict non-ONSEN TE background	Chr1	13291049	13291373	325	0.865043745805371	0.846201408280207	0.819280072540666
BG_LTR_like_02232	Strict non-ONSEN TE background	Chr1	13292351	13292802	452	0.882549816981468	0.868389884213691	0.801906991924749
BG_LTR_like_02233	Strict non-ONSEN TE background	Chr1	13295392	13296927	1536	0.911103613830644	0.906520989338308	0.874490684929051
BG_LTR_like_02234	Strict non-ONSEN TE background	Chr1	13301630	13302052	423	0.857689165066966	0.83577140011692	0.817141637378689
BG_LTR_like_02235	Strict non-ONSEN TE background	Chr1	13304427	13304737	311	0.872679811912855	0.850744499886185	0.833315338107681
BG_LTR_like_02236	Strict non-ONSEN TE background	Chr1	13305228	13305432	205	0.866014808683523	0.810585230302238	0.766736786525731
BG_LTR_like_02237	Strict non-ONSEN TE background	Chr1	13310769	13311277	509	0.879475922478708	0.861757773819707	0.805997633133984
BG_LTR_like_02238	Strict non-ONSEN TE background	Chr1	13316393	13316808	416	0.892542292485335	0.876073623128937	0.850238612388294
BG_LTR_like_02243	Strict non-ONSEN TE background	Chr1	13347745	13349384	1640	0.908452927585686	0.900914592742456	0.861220260523814
BG_LTR_like_02244	Strict non-ONSEN TE background	Chr1	13400777	13401576	800	0.920690443389928	0.912856379367622	0.895344417912624
BG_LTR_like_02245	Strict non-ONSEN TE background	Chr1	13401676	13402670	995	0.892242353455546	0.884010428619428	0.849922242645545
BG_LTR_like_02250	Strict non-ONSEN TE background	Chr1	13504266	13505061	796	0.875655441901765	0.86175798351199	0.825949924775743
BG_LTR_like_02251	Strict non-ONSEN TE background	Chr1	13505094	13506749	1656	1	0.952986676949808	0.92303355743638
BG_LTR_like_02252	Strict non-ONSEN TE background	Chr1	13507195	13507779	585	0.868783708025195	0.84262530836692	0.809527242662488
BG_LTR_like_02253	Strict non-ONSEN TE background	Chr1	13515965	13517626	1662	0.920690443389928	0.912856379367622	0.895344417912624
BG_LTR_like_02254	Strict non-ONSEN TE background	Chr1	13592847	13593057	211	0.999007409629877	0.960734836971016	0.932204792888556
BG_LTR_like_02255	Strict non-ONSEN TE background	Chr1	13597434	13597667	234	0.825930858380756	0.816204055969822	0.788987066746869
BG_LTR_like_02256	Strict non-ONSEN TE background	Chr1	13599712	13600943	1232	0.939524459644417	0.921459443857388	0.907255267857095
BG_LTR_like_02257	Strict non-ONSEN TE background	Chr1	13621507	13622705	1199	0.892351665316562	0.877992222432063	0.825877678894568
BG_LTR_like_02260	Strict non-ONSEN TE background	Chr1	13649002	13649326	325	0.879292093731603	0.86029297537061	0.842048585764282
BG_LTR_like_02261	Strict non-ONSEN TE background	Chr1	13649327	13650463	1137	0.901548316704525	0.879128195430539	0.834364775911944
BG_LTR_like_02280	Strict non-ONSEN TE background	Chr1	13708142	13709758	1617	0.920690443389928	0.903158990147143	0.875090709907538
BG_LTR_like_02281	Strict non-ONSEN TE background	Chr1	13711059	13712501	1443	0.923633119535993	0.9137189503146	0.855984725145089
BG_LTR_like_02288	Strict non-ONSEN TE background	Chr1	13779966	13781169	1204	1	0.952232489415629	0.86545592096904
BG_LTR_like_02289	Strict non-ONSEN TE background	Chr1	13781170	13782305	1136	0.920690443389928	0.907516796673624	0.859352047479113
BG_LTR_like_02290	Strict non-ONSEN TE background	Chr1	13784781	13785497	717	0.892351665316562	0.868918278396646	0.829018647563526
BG_LTR_like_02291	Strict non-ONSEN TE background	Chr1	13795196	13796032	837	0.911771277108941	0.886566496441761	0.87228387975591
BG_LTR_like_02298	Strict non-ONSEN TE background	Chr1	13800081	13800666	586	0.879292093731603	0.857296444419806	0.843705347168231
BG_LTR_like_02299	Strict non-ONSEN TE background	Chr1	13800667	13801784	1118	0.901548316704525	0.885963785072764	0.861508279360062
BG_LTR_like_02300	Strict non-ONSEN TE background	Chr1	13812904	13813117	214	0.894990544126474	0.880467549830592	0.828842797618481
BG_LTR_like_02301	Strict non-ONSEN TE background	Chr1	13825126	13826189	1064	0.957552433785568	0.943015464596711	0.92303355743638
BG_LTR_like_02304	Strict non-ONSEN TE background	Chr1	13826190	13826735	546	0.882549816981468	0.864292072821304	0.828900210976586
BG_LTR_like_02305	Strict non-ONSEN TE background	Chr1	13827496	13828484	989	0.83997163801432	0.834589959138874	0.812458750564157
BG_LTR_like_02308	Strict non-ONSEN TE background	Chr1	13834265	13835790	1526	0.923633119535993	0.908966333307264	0.875810302517449
BG_LTR_like_02309	Strict non-ONSEN TE background	Chr1	13862959	13864749	1791	0.892242353455546	0.887406755695155	0.83944660580037
BG_LTR_like_02312	Strict non-ONSEN TE background	Chr1	13912834	13913517	684	0.938823665407958	0.911940434162373	0.867032403097864
BG_LTR_like_02313	Strict non-ONSEN TE background	Chr1	13913518	13913787	270	0.923633119535993	0.905094518762247	0.866621349982725
BG_LTR_like_02316	Strict non-ONSEN TE background	Chr1	13913796	13915110	1315	0.957552433785568	0.93244152214954	0.910759434349112
BG_LTR_like_02317	Strict non-ONSEN TE background	Chr1	13917578	13919016	1439	0.923633119535993	0.911464996349984	0.872079164297617
BG_LTR_like_02318	Strict non-ONSEN TE background	Chr1	13920722	13922110	1389	1	0.945669093224479	0.887680995838576
BG_LTR_like_02319	Strict non-ONSEN TE background	Chr1	13929931	13930998	1068	0.902089374688906	0.887036967584882	0.865228346894598
BG_LTR_like_02320	Strict non-ONSEN TE background	Chr1	13931180	13931785	606	0.978131699864756	0.972203379477132	0.855768591838334
BG_LTR_like_02321	Strict non-ONSEN TE background	Chr1	13936046	13937056	1011	0.902089374688906	0.887036967584882	0.865228346894598
BG_LTR_like_02322	Strict non-ONSEN TE background	Chr1	13937238	13937843	606	0.957552433785568	0.906361235801323	0.855768591838334
BG_LTR_like_02323	Strict non-ONSEN TE background	Chr1	13937844	13939631	1788	0.925362625658487	0.919979295897441	0.868671060539896
BG_LTR_like_02328	Strict non-ONSEN TE background	Chr1	13961275	13961618	344	0.905790190621108	0.83442291668441	0.788201025033501
BG_LTR_like_02333	Strict non-ONSEN TE background	Chr1	13994018	13994948	931	0.897702475380171	0.880505868413747	0.853980357244735
BG_LTR_like_02334	Strict non-ONSEN TE background	Chr1	13994949	13996527	1579	0.867007748022684	0.862863413101901	0.854535624255784
BG_LTR_like_02335	Strict non-ONSEN TE background	Chr1	13996687	13998078	1392	1	0.95952731016157	0.889961136930081
BG_LTR_like_02338	Strict non-ONSEN TE background	Chr1	14006883	14007129	247	0.889299677309481	0.874482366334075	0.834477963313025
BG_LTR_like_02339	Strict non-ONSEN TE background	Chr1	14007337	14007772	436	0.92333762544263	0.888137340873917	0.859164900656328
BG_LTR_like_02340	Strict non-ONSEN TE background	Chr1	14007782	14008008	227	0.814042863543617	0.786555560013566	0.750511744120369
BG_LTR_like_02341	Strict non-ONSEN TE background	Chr1	14044362	14045934	1573	0.997057323853935	0.983378897137539	0.85713853376014
BG_LTR_like_02342	Strict non-ONSEN TE background	Chr1	14059070	14060612	1543	0.947729284558774	0.928749084040614	0.843461508545455
BG_LTR_like_02343	Strict non-ONSEN TE background	Chr1	14060829	14061200	372	0.81587547299154	0.808083473984211	0.800355468426784
BG_LTR_like_02344	Strict non-ONSEN TE background	Chr1	14061488	14061769	282	0.898138073221796	0.88320711365756	0.855825034325681
BG_LTR_like_02345	Strict non-ONSEN TE background	Chr1	14062307	14063914	1608	0.904136570872775	0.889367116399942	0.867312146034342
BG_LTR_like_02346	Strict non-ONSEN TE background	Chr1	14097912	14098542	631	0.908452927585686	0.89643826370345	0.864051774723055
BG_LTR_like_02347	Strict non-ONSEN TE background	Chr1	14102480	14102760	281	0.877599931150928	0.852581110084743	0.79159017077043
BG_LTR_like_02348	Strict non-ONSEN TE background	Chr1	14107574	14108708	1135	0.87998285625761	0.85596530362813	0.836719746563348
BG_LTR_like_02349	Strict non-ONSEN TE background	Chr1	14113719	14114341	623	0.924379509392148	0.885307255446575	0.821152632697744
BG_LTR_like_02350	Strict non-ONSEN TE background	Chr1	14114771	14115220	450	0.869958237282281	0.857236023009346	0.805857075333624
BG_LTR_like_02351	Strict non-ONSEN TE background	Chr1	14116034	14116840	807	0.900566256541946	0.885196171931056	0.853548932438129
BG_LTR_like_02352	Strict non-ONSEN TE background	Chr1	14117385	14117657	273	0.882549816981468	0.839657561657994	0.797381360345336
BG_LTR_like_02353	Strict non-ONSEN TE background	Chr1	14117912	14118195	284	0.898138073221796	0.873314298677572	0.845311699662966
BG_LTR_like_02356	Strict non-ONSEN TE background	Chr1	14125085	14127032	1948	0.901548316704525	0.882747387765226	0.847447083699883
BG_LTR_like_02357	Strict non-ONSEN TE background	Chr1	14127035	14128352	1318	1	0.967310258891082	0.916644596667634
BG_LTR_like_02361	Strict non-ONSEN TE background	Chr1	14183785	14183995	211	0.826656558765997	0.801527224574745	0.726886466768795
BG_LTR_like_02364	Strict non-ONSEN TE background	Chr1	14207139	14208348	1210	0.914982098538431	0.898090670702328	0.858351294444476
BG_LTR_like_02365	Strict non-ONSEN TE background	Chr1	14211195	14212645	1451	0.947729284558774	0.926784139448327	0.900016940750467
BG_LTR_like_02366	Strict non-ONSEN TE background	Chr1	14235751	14236844	1094	0.934310940015733	0.920459246291977	0.899627914084423
BG_LTR_like_02367	Strict non-ONSEN TE background	Chr1	14237029	14237449	421	0.838615218074424	0.818066767506337	0.769530125815945
BG_LTR_like_02372	Strict non-ONSEN TE background	Chr1	14248338	14248936	599	0.934310940015733	0.90509307001806	0.859596234107564
BG_LTR_like_02373	Strict non-ONSEN TE background	Chr1	14257876	14259091	1216	0.901548316704525	0.872458075964263	0.839502831160357
BG_LTR_like_02374	Strict non-ONSEN TE background	Chr1	14259092	14261082	1991	1	0.954155048857951	0.878624365618975
BG_LTR_like_02375	Strict non-ONSEN TE background	Chr1	14261083	14261587	505	0.818637709486812	0.803522631820371	0.763093840912703
BG_LTR_like_02376	Strict non-ONSEN TE background	Chr1	14261588	14262179	592	0.882549816981468	0.864265744248756	0.804895018609468
BG_LTR_like_02377	Strict non-ONSEN TE background	Chr1	14267046	14268443	1398	0.950697160884448	0.930342542129405	0.850264821903187
BG_LTR_like_02378	Strict non-ONSEN TE background	Chr1	14280175	14281809	1635	0.957552433785568	0.924377640242264	0.884988435963252
BG_LTR_like_02397	Strict non-ONSEN TE background	Chr1	14309742	14310150	409	0.911771277108941	0.885678441952395	0.854100536039882
BG_LTR_like_02398	Strict non-ONSEN TE background	Chr1	14312044	14312448	405	0.862523178154676	0.8545182970686	0.835740798413275
BG_LTR_like_02399	Strict non-ONSEN TE background	Chr1	14328156	14329803	1648	1	0.940493956166197	0.858357775168133
BG_LTR_like_02400	Strict non-ONSEN TE background	Chr1	14331005	14332548	1544	0.923633119535993	0.916610776142405	0.844770496694612
BG_LTR_like_02401	Strict non-ONSEN TE background	Chr1	14340694	14341290	597	0.872556259205417	0.853807177838476	0.820392850479162
BG_LTR_like_02402	Strict non-ONSEN TE background	Chr1	14341291	14341670	380	0.920690443389928	0.913500767678181	0.895344417912624
BG_LTR_like_02405	Strict non-ONSEN TE background	Chr1	14345242	14346432	1191	0.898488402633137	0.880433006711563	0.841668498428112
BG_LTR_like_02406	Strict non-ONSEN TE background	Chr1	14346433	14346915	483	0.950697160884448	0.924319080707594	0.880350191730559
BG_LTR_like_02407	Strict non-ONSEN TE background	Chr1	14349677	14350162	486	0.947729284558774	0.904134859443552	0.845688938133992
BG_LTR_like_02408	Strict non-ONSEN TE background	Chr1	14350163	14350415	253	0.889607567092204	0.870803249982012	0.826378597232489
BG_LTR_like_02409	Strict non-ONSEN TE background	Chr1	14350416	14350625	210	0.864281106555386	0.846546565630137	0.820326329903481
BG_LTR_like_02410	Strict non-ONSEN TE background	Chr1	14350912	14352041	1130	0.925362625658487	0.916071165513424	0.883655687766854
BG_LTR_like_02411	Strict non-ONSEN TE background	Chr1	14352606	14353475	870	0.961845487057053	0.896235776040348	0.848749210713806
BG_LTR_like_02412	Strict non-ONSEN TE background	Chr1	14353180	14353977	798	0.891012472215465	0.879087427926871	0.86279876092475
BG_LTR_like_02413	Strict non-ONSEN TE background	Chr1	14353978	14354438	461	0.850350052769299	0.834890181775888	0.769916335037668
BG_LTR_like_02414	Strict non-ONSEN TE background	Chr1	14354919	14355403	485	0.950697160884448	0.925077307267338	0.85561656280751
BG_LTR_like_02415	Strict non-ONSEN TE background	Chr1	14355404	14355644	241	0.889607567092204	0.870803249982012	0.818839112193356
BG_LTR_like_02416	Strict non-ONSEN TE background	Chr1	14355645	14356801	1157	0.923633119535993	0.909029661232543	0.840452427699808
BG_LTR_like_02417	Strict non-ONSEN TE background	Chr1	14356802	14357624	823	0.920690443389928	0.904543890321311	0.85817924288877
BG_LTR_like_02418	Strict non-ONSEN TE background	Chr1	14357678	14358254	577	0.860172025611857	0.850783867770405	0.824928883053432
BG_LTR_like_02419	Strict non-ONSEN TE background	Chr1	14359721	14360155	435	0.96438510493288	0.935920418559626	0.861845553336385
BG_LTR_like_02420	Strict non-ONSEN TE background	Chr1	14362050	14362267	218	0.892351665316562	0.854116204340219	0.778938874668279
BG_LTR_like_02421	Strict non-ONSEN TE background	Chr1	14364204	14365893	1690	0.923633119535993	0.909029661232543	0.853702361140472
BG_LTR_like_02422	Strict non-ONSEN TE background	Chr1	14365895	14366400	506	0.872556259205417	0.862385742454934	0.839564864993338
BG_LTR_like_02425	Strict non-ONSEN TE background	Chr1	14375398	14375766	369	0.894990544126474	0.861431654858703	0.778515839167529
BG_LTR_like_02426	Strict non-ONSEN TE background	Chr1	14375773	14377214	1442	1	0.948432495562346	0.869921952253759
BG_LTR_like_02427	Strict non-ONSEN TE background	Chr1	14379492	14381177	1686	0.923633119535993	0.909550998316484	0.861771899023173
BG_LTR_like_02428	Strict non-ONSEN TE background	Chr1	14381663	14383424	1762	0.961845487057053	0.939162012452219	0.918037730363448
BG_LTR_like_02429	Strict non-ONSEN TE background	Chr1	14383425	14383837	413	0.889299677309481	0.873130301747133	0.787697839923436
BG_LTR_like_02430	Strict non-ONSEN TE background	Chr1	14383838	14384611	774	0.923633119535993	0.904542804248332	0.820392850479162
BG_LTR_like_02431	Strict non-ONSEN TE background	Chr1	14384612	14384991	380	0.920690443389928	0.913500767678181	0.895344417912624
BG_LTR_like_02432	Strict non-ONSEN TE background	Chr1	14390895	14392085	1191	0.898488402633137	0.880433006711563	0.841668498428112
BG_LTR_like_02433	Strict non-ONSEN TE background	Chr1	14392086	14392568	483	0.950697160884448	0.924319080707594	0.880350191730559
BG_LTR_like_02434	Strict non-ONSEN TE background	Chr1	14395330	14395815	486	0.947729284558774	0.904134859443552	0.845688938133992
BG_LTR_like_02435	Strict non-ONSEN TE background	Chr1	14395816	14396068	253	0.889607567092204	0.870803249982012	0.826378597232489
BG_LTR_like_02436	Strict non-ONSEN TE background	Chr1	14396069	14396278	210	0.864281106555386	0.846546565630137	0.820326329903481
BG_LTR_like_02437	Strict non-ONSEN TE background	Chr1	14396565	14397694	1130	0.925362625658487	0.916071165513424	0.883655687766854
BG_LTR_like_02438	Strict non-ONSEN TE background	Chr1	14398259	14399128	870	0.961845487057053	0.896235776040348	0.848749210713806
BG_LTR_like_02439	Strict non-ONSEN TE background	Chr1	14398833	14399630	798	0.891012472215465	0.879087427926871	0.86279876092475
BG_LTR_like_02440	Strict non-ONSEN TE background	Chr1	14399631	14400091	461	0.850350052769299	0.834890181775888	0.769916335037668
BG_LTR_like_02441	Strict non-ONSEN TE background	Chr1	14400572	14401056	485	0.950697160884448	0.925077307267338	0.85561656280751
BG_LTR_like_02442	Strict non-ONSEN TE background	Chr1	14401057	14401297	241	0.889607567092204	0.870803249982012	0.818839112193356
BG_LTR_like_02443	Strict non-ONSEN TE background	Chr1	14401298	14402454	1157	0.923633119535993	0.909029661232543	0.840452427699808
BG_LTR_like_02444	Strict non-ONSEN TE background	Chr1	14402455	14403277	823	0.920690443389928	0.904543890321311	0.85817924288877
BG_LTR_like_02445	Strict non-ONSEN TE background	Chr1	14403331	14403907	577	0.860172025611857	0.850783867770405	0.824928883053432
BG_LTR_like_02446	Strict non-ONSEN TE background	Chr1	14405374	14405808	435	0.96438510493288	0.935920418559626	0.861845553336385
BG_LTR_like_02447	Strict non-ONSEN TE background	Chr1	14407703	14407920	218	0.892351665316562	0.854116204340219	0.778938874668279
BG_LTR_like_02448	Strict non-ONSEN TE background	Chr1	14409857	14411546	1690	0.923633119535993	0.909029661232543	0.853702361140472
BG_LTR_like_02449	Strict non-ONSEN TE background	Chr1	14411548	14412053	506	0.872556259205417	0.862385742454934	0.839564864993338
BG_LTR_like_02452	Strict non-ONSEN TE background	Chr1	14421051	14421419	369	0.894990544126474	0.861431654858703	0.778515839167529
BG_LTR_like_02453	Strict non-ONSEN TE background	Chr1	14421426	14422867	1442	1	0.948432495562346	0.869921952253759
BG_LTR_like_02454	Strict non-ONSEN TE background	Chr1	14425145	14426830	1686	0.923633119535993	0.909550998316484	0.861771899023173
BG_LTR_like_02455	Strict non-ONSEN TE background	Chr1	14427318	14427921	604	0.961845487057053	0.907804328698244	0.868481063538255
BG_LTR_like_02456	Strict non-ONSEN TE background	Chr1	14429068	14430800	1733	0.923633119535993	0.9137189503146	0.858486659400919
BG_LTR_like_02459	Strict non-ONSEN TE background	Chr1	14451471	14451891	421	0.920690443389928	0.913500767678181	0.895344417912624
BG_LTR_like_02460	Strict non-ONSEN TE background	Chr1	14457778	14459459	1682	0.950697160884448	0.927694647988616	0.89028058743262
BG_LTR_like_02463	Strict non-ONSEN TE background	Chr1	14462782	14463254	473	0.869958237282281	0.820375120863632	0.800611351346931
