Table S9. Genome-wide gene and transposable-element differential expression in Col-0 after 24-h 37°C heat stress. Transposable-element-level results.																			
																			
TE ID	TE alias	TE name	Canonical ONSEN copy	Chromosome	Start	End	Strand	Length (bp)	Mean NS signal	Mean HS signal	Mean signal (all samples)	Descriptive log2FC (HS / NS)	Model log2 fold change (HS / NS)	log2FC SE	Test statistic	P value	BH-adjusted P value	Statistically tested after expression filtering	DE call
AT1TE01985	ATREP5	AT1TE01985		1	609513	610347	+	835	0	0	0	0						False	NS
AT1TE02060	RP1_AT	AT1TE02060		1	634246	634464	+	219	0	0	0	0						False	NS
AT1TE02070	ATREP10B	AT1TE02070		1	638900	639129	-	230	0.833333333333333	4.33333333333333	2.58333333333333	1.85798099512757						False	NS
AT1TE02075	ARNOLDY1	AT1TE02075		1	639130	641133	+	2004	0.5	5.33333333333333	2.91666666666667	2.54432051622381						False	NS
AT1TE02080	ARNOLDY1	AT1TE02080		1	641277	641420	+	144	0	0.666666666666667	0.333333333333333	1.22239242133645						False	NS
AT1TE02160	META1	AT1TE02160		1	664383	664538	-	156	0	0	0	0						False	NS
AT1TE02165	ATREP10B	AT1TE02165		1	664539	664905	+	367	0	0	0	0						False	NS
AT1TE02175	ATREP11	AT1TE02175		1	669867	670631	-	765	0	0.333333333333333	0.166666666666667	0.736965594166206						False	NS
AT1TE02180	HELITRONY2	AT1TE02180		1	672779	673137	-	359	0	0	0	0						False	NS
AT1TE02190	ATREP9	AT1TE02190		1	676495	677066	+	572	0	0	0	0						False	NS
AT1TE02195	ATREP4	AT1TE02195		1	677067	677162	+	96	0	0	0	0						False	NS
AT1TE02200	HELITRONY1D	AT1TE02200		1	677163	677290	-	128	0	0	0	0						False	NS
AT1TE02260	ATREP2A	AT1TE02260		1	696359	696446	-	88	0.166666666666667	0.333333333333333	0.25	0.321928094887362						False	NS
AT1TE02265	ATREP1	AT1TE02265		1	696447	697372	-	926	0.5	0.166666666666667	0.333333333333333	-0.584962500721156						False	NS
AT1TE02270	ATREP10D	AT1TE02270		1	697387	697951	+	565	1.33333333333333	1.66666666666667	1.5	0.241008099503795						False	NS
AT1TE02275	HELITRONY3	AT1TE02275		1	697952	698088	+	137	9	6	7.5	-0.547487795302493						False	NS
AT1TE02360	ATENSPM1A	AT1TE02360		1	726695	726837	-	143	81.6666666666667	34	57.8333333333333	-1.25195687887859	-0.893421670170679	0.562665205405528	-1.5878388455294	0.15752683880197	0.205695393612765	True	NS
AT1TE02365	ATREP11	AT1TE02365		1	728985	729267	-	283	0	0.333333333333333	0.166666666666667	0.736965594166206						False	NS
AT1TE02460	HELITRONY1A	AT1TE02460		1	758410	758534	+	125	110.333333333333	176.166666666667	143.25	0.672638019062009	0.90701253143451	0.204521928066087	4.43479356962364	0.00323518888679228	0.00685860148148874	True	NS
AT1TE02465	ATREP5	AT1TE02465		1	758535	760505	+	1971	31.5	36.8333333333333	34.1666666666667	0.222392421336448	0.47897330648946	0.288098313540715	1.66253422521951	0.141544144130087	0.187845453721568	True	NS
AT1TE02470	ATREP3	AT1TE02470		1	760506	760660	+	155	0.166666666666667	0	0.0833333333333333	-0.415037499278844						False	NS
AT1TE02540	ATREP15	AT1TE02540		1	781194	782748	-	1555	3.83333333333333	8.66666666666667	6.25	1.08091999538357						False	NS
AT1TE02545	HELITRONY2	AT1TE02545		1	782749	782943	+	195	19.6666666666667	23.3333333333333	21.5	0.241008099503795	0.415530470993878	0.408347466396001	1.01759042283591	0.343647606575392	0.40312876684249	True	NS
AT1TE02550	ATREP3	AT1TE02550		1	782944	782971	+	28	103.5	44	73.75	-1.22470628717469	-1.0179571091635	0.215892283768997	-4.71511575769288	0.00233525328541165	0.0052084576992037	True	Down
AT1TE02555	ATHPOGON1	AT1TE02555		1	784893	784929	-	37	0	0	0	0						False	NS
AT1TE02560	ATHPOGON1	AT1TE02560		1	784930	785447	+	518	0	0	0	0						False	NS
AT1TE02565	HELITRONY1D	AT1TE02565		1	785448	785479	+	32	0	0	0	0						False	NS
AT1TE02680	ATREP4	AT1TE02680		1	821723	821763	-	41	0	0	0	0						False	NS
AT1TE02685	HELITRONY1D	AT1TE02685		1	821764	821946	-	183	0	0	0	0						False	NS
AT1TE02690	ATREP5	AT1TE02690		1	821947	822571	-	625	0	0	0	0						False	NS
AT1TE02695	ATREP15	AT1TE02695		1	822579	822627	-	49	0	0.666666666666667	0.333333333333333	1.22239242133645						False	NS
AT1TE02770	SADHU	AT1TE02770		1	846664	847739	+	1076	904.333333333333	258.166666666667	581.25	-1.80655792634216	-1.59328139701731	0.115736167111065	-13.7664952692648	3.19089828331594e-06	1.7145977732089e-05	True	Down
AT1TE02880	VANDAL17	AT1TE02880		1	882330	882554	+	225	210.666666666667	308.666666666667	259.666666666667	0.550002662367356	0.755502932625674	0.150083358107168	5.03388878123451	0.00163414474191976	0.0038410146972128	True	NS
AT1TE02950	ATREP19	AT1TE02950		1	903047	903474	-	428	0	0	0	0						False	NS
AT1TE02980	ATREP15	AT1TE02980		1	912339	913217	+	879	10.5	13.6666666666667	12.0833333333333	0.364996816779248						False	NS
AT1TE02985	BRODYAGA2	AT1TE02985		1	913218	913345	-	128	4.83333333333333	9.66666666666667	7.25	0.930737337562886						False	NS
AT1TE03010	ATREP10D	AT1TE03010		1	921830	923363	+	1534	2.33333333333333	0.666666666666667	1.5	-1.28010791919274						False	NS
AT1TE03050	ATMU6N1	AT1TE03050		1	934884	935351	-	468	256.666666666667	189.5	223.083333333333	-0.436704237518631	-0.222625933518032	0.135059511063025	-1.64835435702224	0.144455994243744	0.191000946762065	True	NS
AT1TE03080	HELITRONY3	AT1TE03080		1	943765	944176	-	412	0	0	0	0						False	NS
AT1TE03170	ATREP10B	AT1TE03170		1	971939	972418	-	480	0	0	0	0						False	NS
AT1TE03175	BRODYAGA1A	AT1TE03175		1	974403	974811	-	409	0	0	0	0						False	NS
AT1TE03180	BRODYAGA1A	AT1TE03180		1	974812	974873	+	62	0	0	0	0						False	NS
AT1TE03185	ATREP5	AT1TE03185		1	976608	976643	+	36	2.33333333333333	5.33333333333333	3.83333333333333	1.04182017569463						False	NS
AT1TE03190	BRODYAGA2	AT1TE03190		1	976644	977202	+	559	39.5	21.5	30.5	-0.862496476250065	-0.653522904731536	0.283482534480024	-2.30533745555173	0.0555669353085985	0.0825579937964488	True	NS
AT1TE03195	ATREP5	AT1TE03195		1	977203	977233	+	31	57.1666666666667	28.5	42.8333333333333	-0.991684731787996	-0.774226785310304	0.280399760294469	-2.76115352059228	0.028824538076705	0.0460465296417662	True	NS
AT1TE03780	LIMPET1	AT1TE03780		1	1157763	1157863	+	101	8.66666666666667	1.33333333333333	5	-2.32192809488736						False	NS
AT1TE03785	ATREP11A	AT1TE03785		1	1160069	1161330	+	1262	0	0.166666666666667	0.0833333333333333	0.415037499278844						False	NS
AT1TE03790	HELITRONY1D	AT1TE03790		1	1161331	1161548	+	218	12	2.83333333333333	7.41666666666667	-1.90689059560852						False	NS
AT1TE03830	HELITRONY3	AT1TE03830		1	1174434	1174891	-	458	0	0	0	0						False	NS
AT1TE03835	HELITRONY1D	AT1TE03835		1	1174892	1174958	+	67	0	0	0	0						False	NS
AT1TE03860	ATHPOGON1	AT1TE03860		1	1184970	1185352	-	383	0	0	0	0						False	NS
AT1TE03865	ATREP1	AT1TE03865		1	1185353	1185394	-	42	0	0	0	0						False	NS
AT1TE03870	BRODYAGA1A	AT1TE03870		1	1185395	1185428	-	34	0	0	0	0						False	NS
AT1TE03900	ATREP10D	AT1TE03900		1	1194345	1195166	+	822	50	87.6666666666667	68.8333333333333	0.803949928641075	1.06516350052713	0.256724837633327	4.14904732376724	0.00456450068976731	0.0092040792114746	True	Up
AT1TE03905	VANDALNX2	AT1TE03905		1	1197069	1197444	-	376	0.666666666666667	0	0.333333333333333	-1.22239242133645						False	NS
AT1TE03915	ATDNA2T9C	AT1TE03915		1	1201616	1202034	-	419	0.333333333333333	0	0.166666666666667	-0.736965594166206						False	NS
AT1TE03925	ATREP5	AT1TE03925		1	1205705	1205739	-	35	40.3333333333333	34.3333333333333	37.3333333333333	-0.229278806921688	-0.0240949033167581	0.391881274853954	-0.0614852121366038	0.952737916171164	0.960049094424755	True	NS
AT1TE03930	ATREP3	AT1TE03930		1	1205740	1206603	+	864	25.5	24	24.75	-0.085729874025884	0.15525938414213	0.502015191895052	0.309272282290985	0.766359844029537	0.798671643008957	True	NS
AT1TE03935	ATREP15	AT1TE03935		1	1206604	1207093	+	490	0.5	0	0.25	-1						False	NS
AT1TE04080	ATREP12	AT1TE04080		1	1251630	1251772	-	143	0.666666666666667	0	0.333333333333333	-1.22239242133645						False	NS
AT1TE04160	ATREP7	AT1TE04160		1	1275327	1275794	-	468	0	0	0	0						False	NS
AT1TE04165	ATREP7	AT1TE04165		1	1275795	1276621	-	827	0	0	0	0						False	NS
AT1TE04170	ATREP6	AT1TE04170		1	1276623	1276966	-	344	0	0	0	0						False	NS
AT1TE04200	ATENSPM1A	AT1TE04200		1	1286382	1286558	-	177	175	96.3333333333333	135.666666666667	-0.857895367621188	-0.639153853833768	0.166452054824838	-3.83986760936275	0.00671673225689597	0.0129347887000352	True	NS
AT1TE04205	ATREP5	AT1TE04205		1	1286663	1287069	+	407	0	0	0	0						False	NS
AT1TE04220	SIMPLEHAT2	AT1TE04220		1	1293504	1293596	+	93	0	0	0	0						False	NS
AT1TE04500	ATREP5	AT1TE04500		1	1379290	1380001	+	712	0	0	0	0						False	NS
AT1TE04510	ATREP1	AT1TE04510		1	1383410	1383734	+	325	0	0	0	0						False	NS
AT1TE04620	ATDNA1T9A	AT1TE04620		1	1417569	1417699	+	131	27.6666666666667	18.3333333333333	23	-0.580700473866997	-0.471232260899519	0.429248961772849	-1.09780640808838	0.309574334773337	0.369974788031161	True	NS
AT1TE04660	TAG2	AT1TE04660		1	1430272	1430424	-	153	0	0.833333333333333	0.416666666666667	1.41503749927884						False	NS
AT1TE04665	SIMPLEGUY1	AT1TE04665		1	1430437	1430836	+	400	0	1.27666666666667	0.638333333333333	1.82917303226329						False	NS
AT1TE04670	SIMPLEGUY1	AT1TE04670		1	1430837	1430859	+	23	0	0.443333333333333	0.221666666666667	0.915839552336001						False	NS
AT1TE04675	TAG2	AT1TE04675		1	1430869	1431028	-	160	0	0.443333333333333	0.221666666666667	0.915839552336001						False	NS
AT1TE04700	ATDNAI27T9A	AT1TE04700		1	1441515	1441645	+	131	11.0533333333333	0.333333333333333	5.69333333333333	-3.79327165449808	-3.76710088896772	0.767820913521223	-4.90622334274774	0.00188208722913548	0.00433581718027812	True	Down
AT1TE04705	VANDAL5	AT1TE04705		1	1441646	1441670	+	25	7.72	0	3.86	-4.03913839390696						False	NS
AT1TE04710	ATDNAI27T9B	AT1TE04710		1	1441741	1442976	+	1236	47.1366666666667	1.66666666666667	24.4016666666667	-4.4585233429004	-4.71431721052924	0.847324929506229	-5.5637655005341	0.00093080995365155	0.00234488214942674	True	Down
AT1TE04715	ATDNAI27T9B	AT1TE04715		1	1442977	1443007	+	31	5.66666666666667	0	2.83333333333333	-3.62449086490779						False	NS
AT1TE04720	ATDNAI27T9C	AT1TE04720		1	1443562	1443971	+	410	27.5	8.16666666666667	17.8333333333333	-1.69187770463767						False	NS
AT1TE04725	ATDNAI27T9B	AT1TE04725		1	1444364	1444532	+	169	58.3333333333333	14.5	36.4166666666667	-1.97167127694151	-1.90343316520252	0.569297152016792	-3.34347916278769	0.012868616414894	0.0227392456582777	True	Down
AT1TE04830	ATDNATA1	AT1TE04830		1	1476478	1476716	+	239	0	0	0	0						False	NS
AT1TE04835	ATGP1	AT1TE04835		1	1477673	1478083	-	411	563.166666666667	194.333333333333	378.75	-1.53260172987833	-1.31343399443914	0.110401117027728	-11.8969266779182	8.32398873393783e-06	4.09571436299845e-05	True	Down
AT1TE04840	ATGP1	AT1TE04840		1	1478084	1478455	-	372	27.5	5	16.25	-2.34792330342031	-2.08530571780833	0.28463642743004	-7.32620816188706	0.000181680222440772	0.000575731745623021	True	Down
AT1TE04920	BRODYAGA2	AT1TE04920		1	1501823	1502307	-	485	9	22.3333333333333	15.6666666666667	1.26514206879579	1.54729556771386	0.504402246706017	3.06758262442014	0.01875503064714	0.0315992938168735	True	Up
AT1TE04970	ATREP10B	AT1TE04970		1	1518865	1519729	+	865	4.16666666666667	0	2.08333333333333	-3.22239242133645						False	NS
AT1TE04975	HELITRONY3	AT1TE04975		1	1519730	1519773	+	44	1.11	0	0.555	-1.68706068833989						False	NS
AT1TE04980	ATREP3	AT1TE04980		1	1519774	1520005	-	232	2.11	0	1.055	-2.38404980679516						False	NS
AT1TE04985	ATHILA	AT1TE04985		1	1520195	1520367	-	173	2.27666666666667	0.666666666666667	1.47166666666667	-1.25096157353322						False	NS
AT1TE04990	ATHAT10	AT1TE04990		1	1522504	1522667	-	164	100.193333333333	17.14	58.6666666666667	-2.51304570308316	-2.29872348368266	0.298993419875346	-7.68820760216404	0.000134995614549569	0.000446654781367945	True	Down
AT1TE04995	ATHATN10	AT1TE04995		1	1522668	1522770	-	103	1.86	2.47333333333333	2.16666666666667	0.333294349837307						False	NS
AT1TE05000	ATHATN10	AT1TE05000		1	1522771	1522971	-	201	0.776666666666667	6.55666666666667	3.66666666666667	2.46660497208263						False	NS
AT1TE05170	HELITRONY1A	AT1TE05170		1	1573302	1573550	+	249	0	0	0	0						False	NS
AT1TE05220	ATREP11	AT1TE05220		1	1589343	1589856	+	514	0	0	0	0						False	NS
AT1TE05225	HELITRONY3	AT1TE05225		1	1592656	1593745	+	1090	0	0	0	0						False	NS
AT1TE05280	ATREP16	AT1TE05280		1	1613272	1614662	-	1391	0	0	0	0						False	NS
AT1TE05480	HELITRONY1D	AT1TE05480		1	1676342	1676363	+	22	0	0	0	0						False	NS
AT1TE05485	ARNOLDY2	AT1TE05485		1	1676364	1677158	+	795	0	0	0	0						False	NS
AT1TE05490	ATREP11	AT1TE05490		1	1677159	1677359	+	201	0	0	0	0						False	NS
AT1TE05580	HELITRONY1D	AT1TE05580		1	1705285	1705374	+	90	0	0	0	0						False	NS
AT1TE05585	ATREP11	AT1TE05585		1	1705375	1706660	+	1286	0	0	0	0						False	NS
AT1TE05590	ATREP15	AT1TE05590		1	1706661	1706725	-	65	0	0	0	0						False	NS
AT1TE05700	TA11	AT1TE05700		1	1738944	1739205	+	262	0	0	0	0						False	NS
AT1TE05870	VANDAL1	AT1TE05870		1	1791742	1791914	+	173	251.333333333333	285.666666666667	268.5	0.184386378837305	0.395675887016582	0.134481420093603	2.94223459821572	0.0223295062464668	0.0368244055132078	True	NS
AT1TE06030	BRODYAGA2	AT1TE06030		1	1840654	1841049	-	396	0	0	0	0						False	NS
AT1TE06060	ATREP19	AT1TE06060		1	1850786	1851269	+	484	0	0	0	0						False	NS
AT1TE06140	ARNOLD3	AT1TE06140		1	1876438	1876508	-	71	1.33333333333333	0	0.666666666666667	-1.87446911791614						False	NS
AT1TE06220	ATCOPIA69	AT1TE06220		1	1899519	1899767	-	249	0	0	0	0						False	NS
AT1TE06340	ATREP15	AT1TE06340		1	1937510	1938638	+	1129	0	0	0	0						False	NS
AT1TE06345	ATREP3	AT1TE06345		1	1938639	1938678	-	40	0	0	0	0						False	NS
AT1TE06460	HELITRONY1C	AT1TE06460		1	1974796	1974853	-	58	0	0	0	0						False	NS
AT1TE06465	ATREP5	AT1TE06465		1	1974854	1975397	+	544	0	0	0	0						False	NS
AT1TE06470	ATHATN7	AT1TE06470		1	1975442	1976072	+	631	0	0	0	0						False	NS
AT1TE06475	ATREP10D	AT1TE06475		1	1976073	1976109	-	37	0	0	0	0						False	NS
AT1TE06480	ATREP3	AT1TE06480		1	1976110	1977174	-	1065	0	0	0	0						False	NS
AT1TE06485	ATREP4	AT1TE06485		1	1977175	1977358	+	184	0	0	0	0						False	NS
AT1TE06560	VANDAL17	AT1TE06560		1	2002044	2002241	-	198	1197.66666666667	798	997.833333333333	-0.58546429024341	-0.364563165936255	0.0827073463598149	-4.4078692157555	0.00334010495946854	0.00703162376737816	True	NS
AT1TE06650	ATIS112A	AT1TE06650		1	2029752	2031696	+	1945	274.666666666667	621.333333333333	448	1.17622223990352	1.40196978150713	0.111745409549242	12.5461062531552	5.87832835923947e-06	2.96883843335628e-05	True	Up
AT1TE06655	ATIS112A	AT1TE06655		1	2030569	2030715	+	147	68.1666666666667	149.666666666667	108.916666666667	1.12888276863032	1.35703912154592	0.190949916065315	7.10678040351555	0.000218781341253634	0.00067696553457126	True	Up
AT1TE06730	LIMPET1	AT1TE06730		1	2055313	2055429	-	117	52	100	76	0.936806173512806	1.15221401862116	0.184183325209187	6.25579985219903	0.000470591412086011	0.00128906461120301	True	Up
AT1TE06780	Unassigned	AT1TE06780		1	2070737	2073535	+	2799	163.666666666667	216.333333333333	190	0.401425332374057	0.629321526874026	0.167259862394373	3.76253763374612	0.00741479789402043	0.014072710366158	True	NS
AT1TE07050	ATCOPIA58	AT1TE07050		1	2157095	2157660	+	566	0.666666666666667	12	6.33333333333333	3.42146376843828						False	NS
AT1TE07150	BRODYAGA1A	AT1TE07150		1	2188895	2189266	-	372	0	0	0	0						False	NS
AT1TE07155	HELITRONY1D	AT1TE07155		1	2191159	2191271	+	113	0	0	0	0						False	NS
AT1TE07160	ATREP3	AT1TE07160		1	2191272	2191794	+	523	1	0	0.5	-1.58496250072116						False	NS
AT1TE07165	ATREP10D	AT1TE07165		1	2191795	2191972	+	178	94	99.3333333333333	96.6666666666667	0.0792072678465568	0.277059685280319	0.277667560637831	0.997810780070543	0.352489849382257	0.412580040976112	True	NS
AT1TE07180	VANDAL5A	AT1TE07180		1	2199212	2199584	-	373	1	5.66666666666667	3.33333333333333	2.03952836418664						False	NS
AT1TE07290	ATHATN7	AT1TE07290		1	2234188	2234361	+	174	0	0	0	0						False	NS
AT1TE07295	ATREP3	AT1TE07295		1	2234362	2234388	-	27	0	0	0	0						False	NS
AT1TE07300	ATREP3	AT1TE07300		1	2234389	2235176	-	788	0	0	0	0						False	NS
AT1TE07305	ATREP3	AT1TE07305		1	2235177	2235231	-	55	0	0	0	0						False	NS
AT1TE07360	ATREP15	AT1TE07360		1	2253787	2254643	-	857	1	2	1.5	0.736965594166206						False	NS
AT1TE07365	ATREP4	AT1TE07365		1	2254644	2254722	-	79	0	0	0	0						False	NS
AT1TE07460	ATDNA2T9C	AT1TE07460		1	2285666	2286032	+	367	0.666666666666667	0	0.333333333333333	-1.22239242133645						False	NS
AT1TE07620	ATREP3	AT1TE07620		1	2335043	2335717	-	675	0	0	0	0						False	NS
AT1TE07625	ATTIRTA1	AT1TE07625		1	2335262	2335495	-	234	0	0	0	0						False	NS
AT1TE07750	HELITRONY1D	AT1TE07750		1	2374980	2375519	-	540	0	0	0	0						False	NS
AT1TE07780	ATTIRX1D	AT1TE07780		1	2383162	2383320	-	159	0	0.333333333333333	0.166666666666667	0.736965594166206						False	NS
AT1TE07880	ATLINE1_1	AT1TE07880		1	2415020	2416036	+	1017	0	0	0	0						False	NS
AT1TE07970	ATGP8	AT1TE07970		1	2444684	2444851	+	168	38	134.333333333333	86.1666666666667	1.80824685101392	2.01902588638904	0.272339798329584	7.41362775023291	0.000168924981148573	0.00054350901285322	True	Up
AT1TE08020	ATREP3	AT1TE08020		1	2461274	2462129	-	856	0	0	0	0						False	NS
AT1TE08050	ATREP1	AT1TE08050		1	2472646	2473098	-	453	3	0.666666666666667	1.83333333333333	-1.58496250072116						False	NS
AT1TE08055	ATREP2	AT1TE08055		1	2473099	2473306	-	208	19.8333333333333	33.5	26.6666666666667	0.741688004408609	0.988476416904788	0.337138191667538	2.93196214886136	0.0226529753396344	0.0372700870701425	True	NS
AT1TE08060	VANDAL8	AT1TE08060		1	2473307	2473421	+	115	74.5	170.166666666667	122.333333333333	1.18621880878296	1.40669181454128	0.160756222163253	8.75046574006161	6.00913268837464e-05	0.000219951006590159	True	Up
AT1TE08190	HELITRONY3	AT1TE08190		1	2513507	2514452	+	946	6.66666666666667	14	10.3333333333333	1.01667874114663						False	NS
AT1TE08220	ATREP3	AT1TE08220		1	2522239	2522640	-	402	0	0	0	0						False	NS
AT1TE08230	ATHILA7A	AT1TE08230		1	2526624	2526756	-	133	0	0	0	0						False	NS
AT1TE08240	TAG2	AT1TE08240		1	2531451	2534781	-	3331	0.443333333333333	0.443333333333333	0.443333333333333	0						False	NS
AT1TE08245	ATHAT1	AT1TE08245		1	2533899	2533947	-	49	0	0	0	0						False	NS
AT1TE08410	ATREP15	AT1TE08410		1	2586790	2586819	-	30	2.66666666666667	3.33333333333333	3	0.275634442613428						False	NS
AT1TE08415	HELITRONY1D	AT1TE08415		1	2586820	2587142	-	323	1	1	1	0						False	NS
AT1TE08420	ATREP2	AT1TE08420		1	2587143	2588427	-	1285	0	0	0	0						False	NS
AT1TE08425	ATREP2A	AT1TE08425		1	2588428	2588452	-	25	0	0	0	0						False	NS
AT1TE08430	ATREP2	AT1TE08430		1	2588453	2588505	-	53	0	0	0	0						False	NS
AT1TE08510	BRODYAGA1A	AT1TE08510		1	2611952	2612481	-	530	0.333333333333333	2.33333333333333	1.33333333333333	1.76553474636298						False	NS
AT1TE08580	ATMU10	AT1TE08580		1	2632338	2632532	+	195	71.3333333333333	32.3333333333333	51.8333333333333	-1.12949223963272	-0.879088648914163	0.324098635502645	-2.71241082996472	0.0308940872858252	0.0486570295258762	True	NS
