Table S7D. Region-level non-redundant HSF motif-coordinate placement metrics across PWM-score thresholds.					
					
Region ID	Region class	Region length (bp)	Relative PWM-score threshold	Non-redundant HSF motif-coordinate placements	Density (placements/kb)
BG_LTR_like_01035	Strict non-ONSEN TE background	1435	0.8	31	21.602787456446
BG_LTR_like_01083	Strict non-ONSEN TE background	204	0.8	2	9.80392156862745
BG_LTR_like_01139	Strict non-ONSEN TE background	236	0.8	3	12.7118644067797
BG_LTR_like_01218	Strict non-ONSEN TE background	220	0.8	0	0
BG_LTR_like_01304	Strict non-ONSEN TE background	362	0.8	2	5.52486187845304
BG_LTR_like_01309	Strict non-ONSEN TE background	510	0.8	21	41.1764705882353
BG_LTR_like_01341	Strict non-ONSEN TE background	355	0.8	14	39.4366197183099
BG_LTR_like_01399	Strict non-ONSEN TE background	225	0.8	6	26.6666666666667
BG_LTR_like_01400	Strict non-ONSEN TE background	309	0.8	11	35.5987055016181
BG_LTR_like_01528	Strict non-ONSEN TE background	673	0.8	25	37.147102526003
BG_LTR_like_01529	Strict non-ONSEN TE background	967	0.8	33	34.1261633919338
BG_LTR_like_01530	Strict non-ONSEN TE background	400	0.8	14	35
BG_LTR_like_01531	Strict non-ONSEN TE background	236	0.8	1	4.23728813559322
BG_LTR_like_01532	Strict non-ONSEN TE background	203	0.8	2	9.85221674876847
BG_LTR_like_01685	Strict non-ONSEN TE background	296	0.8	12	40.5405405405405
BG_LTR_like_01751	Strict non-ONSEN TE background	651	0.8	27	41.4746543778802
BG_LTR_like_01759	Strict non-ONSEN TE background	285	0.8	24	84.2105263157895
BG_LTR_like_01760	Strict non-ONSEN TE background	226	0.8	1	4.42477876106195
BG_LTR_like_01834	Strict non-ONSEN TE background	1972	0.8	32	16.2271805273834
BG_LTR_like_01871	Strict non-ONSEN TE background	663	0.8	23	34.6907993966817
BG_LTR_like_01872	Strict non-ONSEN TE background	331	0.8	23	69.4864048338369
BG_LTR_like_01873	Strict non-ONSEN TE background	215	0.8	6	27.906976744186
BG_LTR_like_01994	Strict non-ONSEN TE background	273	0.8	1	3.66300366300366
BG_LTR_like_02021	Strict non-ONSEN TE background	200	0.8	2	10
BG_LTR_like_02057	Strict non-ONSEN TE background	224	0.8	8	35.7142857142857
BG_LTR_like_02071	Strict non-ONSEN TE background	1613	0.8	35	21.6986980781153
BG_LTR_like_02081	Strict non-ONSEN TE background	221	0.8	3	13.5746606334842
BG_LTR_like_02102	Strict non-ONSEN TE background	475	0.8	19	40
BG_LTR_like_02114	Strict non-ONSEN TE background	280	0.8	2	7.14285714285714
BG_LTR_like_02135	Strict non-ONSEN TE background	260	0.8	15	57.6923076923077
BG_LTR_like_02136	Strict non-ONSEN TE background	373	0.8	5	13.4048257372654
BG_LTR_like_02139	Strict non-ONSEN TE background	265	0.8	20	75.4716981132075
BG_LTR_like_02143	Strict non-ONSEN TE background	1052	0.8	54	51.3307984790874
BG_LTR_like_02144	Strict non-ONSEN TE background	780	0.8	21	26.9230769230769
BG_LTR_like_02145	Strict non-ONSEN TE background	1759	0.8	43	24.4457077885162
BG_LTR_like_02152	Strict non-ONSEN TE background	586	0.8	48	81.9112627986348
BG_LTR_like_02159	Strict non-ONSEN TE background	639	0.8	23	35.9937402190923
BG_LTR_like_02160	Strict non-ONSEN TE background	280	0.8	15	53.5714285714286
BG_LTR_like_02161	Strict non-ONSEN TE background	1526	0.8	76	49.8034076015727
BG_LTR_like_02164	Strict non-ONSEN TE background	272	0.8	4	14.7058823529412
BG_LTR_like_02169	Strict non-ONSEN TE background	1548	0.8	28	18.0878552971576
BG_LTR_like_02172	Strict non-ONSEN TE background	891	0.8	28	31.4253647586981
BG_LTR_like_02176	Strict non-ONSEN TE background	1731	0.8	53	30.6181398035817
BG_LTR_like_02181	Strict non-ONSEN TE background	210	0.8	7	33.3333333333333
BG_LTR_like_02182	Strict non-ONSEN TE background	232	0.8	14	60.3448275862069
BG_LTR_like_02185	Strict non-ONSEN TE background	807	0.8	8	9.91325898389095
BG_LTR_like_02189	Strict non-ONSEN TE background	1256	0.8	38	30.2547770700637
BG_LTR_like_02190	Strict non-ONSEN TE background	203	0.8	3	14.7783251231527
BG_LTR_like_02191	Strict non-ONSEN TE background	272	0.8	5	18.3823529411765
BG_LTR_like_02192	Strict non-ONSEN TE background	1001	0.8	32	31.968031968032
BG_LTR_like_02202	Strict non-ONSEN TE background	468	0.8	8	17.0940170940171
BG_LTR_like_02231	Strict non-ONSEN TE background	325	0.8	9	27.6923076923077
BG_LTR_like_02232	Strict non-ONSEN TE background	452	0.8	15	33.1858407079646
BG_LTR_like_02233	Strict non-ONSEN TE background	1536	0.8	51	33.203125
BG_LTR_like_02234	Strict non-ONSEN TE background	423	0.8	12	28.3687943262411
BG_LTR_like_02235	Strict non-ONSEN TE background	311	0.8	16	51.4469453376206
BG_LTR_like_02236	Strict non-ONSEN TE background	205	0.8	2	9.75609756097561
BG_LTR_like_02237	Strict non-ONSEN TE background	509	0.8	17	33.3988212180747
BG_LTR_like_02238	Strict non-ONSEN TE background	416	0.8	23	55.2884615384615
BG_LTR_like_02243	Strict non-ONSEN TE background	1640	0.8	29	17.6829268292683
BG_LTR_like_02244	Strict non-ONSEN TE background	800	0.8	38	47.5
BG_LTR_like_02245	Strict non-ONSEN TE background	995	0.8	21	21.105527638191
BG_LTR_like_02250	Strict non-ONSEN TE background	796	0.8	14	17.5879396984925
BG_LTR_like_02251	Strict non-ONSEN TE background	1656	0.8	63	38.0434782608696
BG_LTR_like_02252	Strict non-ONSEN TE background	585	0.8	13	22.2222222222222
BG_LTR_like_02253	Strict non-ONSEN TE background	1662	0.8	65	39.1095066185319
BG_LTR_like_02254	Strict non-ONSEN TE background	211	0.8	29	137.440758293839
BG_LTR_like_02255	Strict non-ONSEN TE background	234	0.8	3	12.8205128205128
BG_LTR_like_02256	Strict non-ONSEN TE background	1232	0.8	59	47.8896103896104
BG_LTR_like_02257	Strict non-ONSEN TE background	1199	0.8	23	19.1826522101751
BG_LTR_like_02260	Strict non-ONSEN TE background	325	0.8	18	55.3846153846154
BG_LTR_like_02261	Strict non-ONSEN TE background	1137	0.8	26	22.8671943711522
BG_LTR_like_02280	Strict non-ONSEN TE background	1617	0.8	37	22.8818800247372
BG_LTR_like_02281	Strict non-ONSEN TE background	1443	0.8	34	23.5620235620236
BG_LTR_like_02288	Strict non-ONSEN TE background	1204	0.8	41	34.0531561461794
BG_LTR_like_02289	Strict non-ONSEN TE background	1136	0.8	49	43.1338028169014
BG_LTR_like_02290	Strict non-ONSEN TE background	717	0.8	18	25.1046025104603
BG_LTR_like_02291	Strict non-ONSEN TE background	837	0.8	36	43.010752688172
BG_LTR_like_02298	Strict non-ONSEN TE background	586	0.8	18	30.7167235494881
BG_LTR_like_02299	Strict non-ONSEN TE background	1118	0.8	43	38.4615384615385
BG_LTR_like_02300	Strict non-ONSEN TE background	214	0.8	9	42.0560747663551
BG_LTR_like_02301	Strict non-ONSEN TE background	1064	0.8	42	39.4736842105263
BG_LTR_like_02304	Strict non-ONSEN TE background	546	0.8	16	29.3040293040293
BG_LTR_like_02305	Strict non-ONSEN TE background	989	0.8	12	12.1334681496461
BG_LTR_like_02308	Strict non-ONSEN TE background	1526	0.8	24	15.7273918741809
BG_LTR_like_02309	Strict non-ONSEN TE background	1791	0.8	23	12.8419877163596
BG_LTR_like_02312	Strict non-ONSEN TE background	684	0.8	14	20.4678362573099
BG_LTR_like_02313	Strict non-ONSEN TE background	270	0.8	9	33.3333333333333
BG_LTR_like_02316	Strict non-ONSEN TE background	1315	0.8	48	36.5019011406844
BG_LTR_like_02317	Strict non-ONSEN TE background	1439	0.8	40	27.7970813064628
BG_LTR_like_02318	Strict non-ONSEN TE background	1389	0.8	46	33.117350611951
BG_LTR_like_02319	Strict non-ONSEN TE background	1068	0.8	19	17.7902621722846
BG_LTR_like_02320	Strict non-ONSEN TE background	606	0.8	30	49.5049504950495
BG_LTR_like_02321	Strict non-ONSEN TE background	1011	0.8	19	18.7932739861523
BG_LTR_like_02322	Strict non-ONSEN TE background	606	0.8	30	49.5049504950495
BG_LTR_like_02323	Strict non-ONSEN TE background	1788	0.8	70	39.1498881431767
BG_LTR_like_02328	Strict non-ONSEN TE background	344	0.8	3	8.72093023255814
BG_LTR_like_02333	Strict non-ONSEN TE background	931	0.8	26	27.9269602577873
BG_LTR_like_02334	Strict non-ONSEN TE background	1579	0.8	25	15.8328055731476
BG_LTR_like_02335	Strict non-ONSEN TE background	1392	0.8	46	33.0459770114943
BG_LTR_like_02338	Strict non-ONSEN TE background	247	0.8	13	52.6315789473684
BG_LTR_like_02339	Strict non-ONSEN TE background	436	0.8	20	45.8715596330275
BG_LTR_like_02340	Strict non-ONSEN TE background	227	0.8	1	4.40528634361233
BG_LTR_like_02341	Strict non-ONSEN TE background	1573	0.8	33	20.979020979021
BG_LTR_like_02342	Strict non-ONSEN TE background	1543	0.8	43	27.8677900194426
BG_LTR_like_02343	Strict non-ONSEN TE background	372	0.8	6	16.1290322580645
BG_LTR_like_02344	Strict non-ONSEN TE background	282	0.8	10	35.4609929078014
BG_LTR_like_02345	Strict non-ONSEN TE background	1608	0.8	38	23.6318407960199
BG_LTR_like_02346	Strict non-ONSEN TE background	631	0.8	27	42.7892234548336
BG_LTR_like_02347	Strict non-ONSEN TE background	281	0.8	7	24.9110320284697
BG_LTR_like_02348	Strict non-ONSEN TE background	1135	0.8	28	24.6696035242291
BG_LTR_like_02349	Strict non-ONSEN TE background	623	0.8	16	25.6821829855538
BG_LTR_like_02350	Strict non-ONSEN TE background	450	0.8	12	26.6666666666667
BG_LTR_like_02351	Strict non-ONSEN TE background	807	0.8	42	52.0446096654275
BG_LTR_like_02352	Strict non-ONSEN TE background	273	0.8	7	25.6410256410256
BG_LTR_like_02353	Strict non-ONSEN TE background	284	0.8	20	70.4225352112676
BG_LTR_like_02356	Strict non-ONSEN TE background	1948	0.8	45	23.1006160164271
BG_LTR_like_02357	Strict non-ONSEN TE background	1318	0.8	68	51.5933232169954
BG_LTR_like_02361	Strict non-ONSEN TE background	211	0.8	3	14.218009478673
BG_LTR_like_02364	Strict non-ONSEN TE background	1210	0.8	30	24.7933884297521
BG_LTR_like_02365	Strict non-ONSEN TE background	1451	0.8	58	39.9724328049621
BG_LTR_like_02366	Strict non-ONSEN TE background	1094	0.8	52	47.5319926873857
BG_LTR_like_02367	Strict non-ONSEN TE background	421	0.8	4	9.50118764845606
BG_LTR_like_02372	Strict non-ONSEN TE background	599	0.8	18	30.0500834724541
BG_LTR_like_02373	Strict non-ONSEN TE background	1216	0.8	27	22.2039473684211
BG_LTR_like_02374	Strict non-ONSEN TE background	1991	0.8	64	32.1446509291813
BG_LTR_like_02375	Strict non-ONSEN TE background	505	0.8	2	3.96039603960396
BG_LTR_like_02376	Strict non-ONSEN TE background	592	0.8	9	15.2027027027027
BG_LTR_like_02377	Strict non-ONSEN TE background	1398	0.8	28	20.0286123032904
BG_LTR_like_02378	Strict non-ONSEN TE background	1635	0.8	28	17.1253822629969
BG_LTR_like_02397	Strict non-ONSEN TE background	409	0.8	35	85.5745721271394
BG_LTR_like_02398	Strict non-ONSEN TE background	405	0.8	19	46.9135802469136
BG_LTR_like_02399	Strict non-ONSEN TE background	1648	0.8	33	20.0242718446602
BG_LTR_like_02400	Strict non-ONSEN TE background	1544	0.8	28	18.1347150259067
BG_LTR_like_02401	Strict non-ONSEN TE background	597	0.8	9	15.0753768844221
BG_LTR_like_02402	Strict non-ONSEN TE background	380	0.8	37	97.3684210526316
BG_LTR_like_02405	Strict non-ONSEN TE background	1191	0.8	24	20.1511335012594
BG_LTR_like_02406	Strict non-ONSEN TE background	483	0.8	8	16.5631469979296
BG_LTR_like_02407	Strict non-ONSEN TE background	486	0.8	16	32.9218106995885
BG_LTR_like_02408	Strict non-ONSEN TE background	253	0.8	18	71.1462450592885
BG_LTR_like_02409	Strict non-ONSEN TE background	210	0.8	9	42.8571428571429
BG_LTR_like_02410	Strict non-ONSEN TE background	1130	0.8	59	52.212389380531
BG_LTR_like_02411	Strict non-ONSEN TE background	870	0.8	21	24.1379310344828
BG_LTR_like_02412	Strict non-ONSEN TE background	798	0.8	15	18.796992481203
BG_LTR_like_02413	Strict non-ONSEN TE background	461	0.8	6	13.0151843817787
BG_LTR_like_02414	Strict non-ONSEN TE background	485	0.8	14	28.8659793814433
BG_LTR_like_02415	Strict non-ONSEN TE background	241	0.8	11	45.643153526971
BG_LTR_like_02416	Strict non-ONSEN TE background	1157	0.8	31	26.7934312878133
BG_LTR_like_02417	Strict non-ONSEN TE background	823	0.8	26	31.591737545565
BG_LTR_like_02418	Strict non-ONSEN TE background	577	0.8	16	27.7296360485269
BG_LTR_like_02419	Strict non-ONSEN TE background	435	0.8	31	71.2643678160919
BG_LTR_like_02420	Strict non-ONSEN TE background	218	0.8	5	22.9357798165138
BG_LTR_like_02421	Strict non-ONSEN TE background	1690	0.8	40	23.6686390532544
BG_LTR_like_02422	Strict non-ONSEN TE background	506	0.8	17	33.596837944664
BG_LTR_like_02425	Strict non-ONSEN TE background	369	0.8	2	5.42005420054201
BG_LTR_like_02426	Strict non-ONSEN TE background	1442	0.8	34	23.5783633841886
BG_LTR_like_02427	Strict non-ONSEN TE background	1686	0.8	27	16.0142348754448
BG_LTR_like_02428	Strict non-ONSEN TE background	1762	0.8	66	37.4574347332577
BG_LTR_like_02429	Strict non-ONSEN TE background	413	0.8	5	12.1065375302663
BG_LTR_like_02430	Strict non-ONSEN TE background	774	0.8	11	14.2118863049096
BG_LTR_like_02431	Strict non-ONSEN TE background	380	0.8	37	97.3684210526316
BG_LTR_like_02432	Strict non-ONSEN TE background	1191	0.8	24	20.1511335012594
BG_LTR_like_02433	Strict non-ONSEN TE background	483	0.8	8	16.5631469979296
BG_LTR_like_02434	Strict non-ONSEN TE background	486	0.8	16	32.9218106995885
BG_LTR_like_02435	Strict non-ONSEN TE background	253	0.8	18	71.1462450592885
BG_LTR_like_02436	Strict non-ONSEN TE background	210	0.8	9	42.8571428571429
BG_LTR_like_02437	Strict non-ONSEN TE background	1130	0.8	59	52.212389380531
BG_LTR_like_02438	Strict non-ONSEN TE background	870	0.8	21	24.1379310344828
BG_LTR_like_02439	Strict non-ONSEN TE background	798	0.8	15	18.796992481203
BG_LTR_like_02440	Strict non-ONSEN TE background	461	0.8	6	13.0151843817787
BG_LTR_like_02441	Strict non-ONSEN TE background	485	0.8	14	28.8659793814433
BG_LTR_like_02442	Strict non-ONSEN TE background	241	0.8	11	45.643153526971
BG_LTR_like_02443	Strict non-ONSEN TE background	1157	0.8	31	26.7934312878133
BG_LTR_like_02444	Strict non-ONSEN TE background	823	0.8	26	31.591737545565
BG_LTR_like_02445	Strict non-ONSEN TE background	577	0.8	16	27.7296360485269
BG_LTR_like_02446	Strict non-ONSEN TE background	435	0.8	31	71.2643678160919
BG_LTR_like_02447	Strict non-ONSEN TE background	218	0.8	5	22.9357798165138
BG_LTR_like_02448	Strict non-ONSEN TE background	1690	0.8	40	23.6686390532544
BG_LTR_like_02449	Strict non-ONSEN TE background	506	0.8	17	33.596837944664
BG_LTR_like_02452	Strict non-ONSEN TE background	369	0.8	2	5.42005420054201
BG_LTR_like_02453	Strict non-ONSEN TE background	1442	0.8	34	23.5783633841886
BG_LTR_like_02454	Strict non-ONSEN TE background	1686	0.8	27	16.0142348754448
BG_LTR_like_02455	Strict non-ONSEN TE background	604	0.8	33	54.635761589404
BG_LTR_like_02456	Strict non-ONSEN TE background	1733	0.8	34	19.6191575302943
BG_LTR_like_02459	Strict non-ONSEN TE background	421	0.8	37	87.8859857482185
BG_LTR_like_02460	Strict non-ONSEN TE background	1682	0.8	40	23.7812128418549
BG_LTR_like_02463	Strict non-ONSEN TE background	473	0.8	8	16.9133192389006
BG_LTR_like_02464	Strict non-ONSEN TE background	1341	0.8	21	15.6599552572707
BG_LTR_like_02465	Strict non-ONSEN TE background	245	0.8	12	48.9795918367347
BG_LTR_like_02466	Strict non-ONSEN TE background	1111	0.8	29	26.1026102610261
BG_LTR_like_02467	Strict non-ONSEN TE background	776	0.8	27	34.7938144329897
BG_LTR_like_02468	Strict non-ONSEN TE background	335	0.8	7	20.8955223880597
BG_LTR_like_02469	Strict non-ONSEN TE background	443	0.8	29	65.4627539503386
BG_LTR_like_02470	Strict non-ONSEN TE background	1612	0.8	42	26.0545905707196
BG_LTR_like_02471	Strict non-ONSEN TE background	506	0.8	7	13.8339920948617
BG_LTR_like_02472	Strict non-ONSEN TE background	211	0.8	1	4.739336492891
BG_LTR_like_02473	Strict non-ONSEN TE background	1451	0.8	33	22.7429359062715
BG_LTR_like_02474	Strict non-ONSEN TE background	1692	0.8	30	17.7304964539007
BG_LTR_like_02475	Strict non-ONSEN TE background	1801	0.8	50	27.7623542476402
BG_LTR_like_02478	Strict non-ONSEN TE background	1423	0.8	32	22.487702037948
BG_LTR_like_02479	Strict non-ONSEN TE background	1856	0.8	24	12.9310344827586
BG_LTR_like_02480	Strict non-ONSEN TE background	426	0.8	12	28.169014084507
BG_LTR_like_02481	Strict non-ONSEN TE background	300	0.8	7	23.3333333333333
BG_LTR_like_02482	Strict non-ONSEN TE background	669	0.8	19	28.4005979073244
BG_LTR_like_02483	Strict non-ONSEN TE background	321	0.8	6	18.6915887850467
BG_LTR_like_02484	Strict non-ONSEN TE background	1525	0.8	30	19.672131147541
BG_LTR_like_02485	Strict non-ONSEN TE background	874	0.8	9	10.2974828375286
BG_LTR_like_02486	Strict non-ONSEN TE background	1694	0.8	88	51.9480519480519
BG_LTR_like_02489	Strict non-ONSEN TE background	520	0.8	11	21.1538461538462
BG_LTR_like_02494	Strict non-ONSEN TE background	307	0.8	8	26.0586319218241
BG_LTR_like_02495	Strict non-ONSEN TE background	259	0.8	2	7.72200772200772
BG_LTR_like_02496	Strict non-ONSEN TE background	566	0.8	12	21.2014134275618
BG_LTR_like_02499	Strict non-ONSEN TE background	542	0.8	20	36.90036900369
BG_LTR_like_02502	Strict non-ONSEN TE background	1448	0.8	37	25.5524861878453
BG_LTR_like_02503	Strict non-ONSEN TE background	407	0.8	21	51.5970515970516
BG_LTR_like_02507	Strict non-ONSEN TE background	1357	0.8	49	36.1090641120118
BG_LTR_like_02510	Strict non-ONSEN TE background	407	0.8	21	51.5970515970516
BG_LTR_like_02511	Strict non-ONSEN TE background	1978	0.8	45	22.7502527805865
BG_LTR_like_02514	Strict non-ONSEN TE background	1144	0.8	31	27.0979020979021
BG_LTR_like_02515	Strict non-ONSEN TE background	1912	0.8	78	40.7949790794979
BG_LTR_like_02516	Strict non-ONSEN TE background	294	0.8	11	37.4149659863946
BG_LTR_like_02517	Strict non-ONSEN TE background	219	0.8	6	27.3972602739726
BG_LTR_like_02520	Strict non-ONSEN TE background	1116	0.8	65	58.2437275985663
BG_LTR_like_02523	Strict non-ONSEN TE background	941	0.8	39	41.4452709883103
BG_LTR_like_02526	Strict non-ONSEN TE background	1115	0.8	18	16.1434977578475
BG_LTR_like_02527	Strict non-ONSEN TE background	1631	0.8	40	24.5248313917842
BG_LTR_like_02528	Strict non-ONSEN TE background	1194	0.8	76	63.6515912897822
BG_LTR_like_02529	Strict non-ONSEN TE background	1620	0.8	45	27.7777777777778
BG_LTR_like_02530	Strict non-ONSEN TE background	1086	0.8	64	58.9318600368324
BG_LTR_like_02531	Strict non-ONSEN TE background	1305	0.8	28	21.455938697318
BG_LTR_like_02532	Strict non-ONSEN TE background	1659	0.8	49	29.535864978903
BG_LTR_like_02535	Strict non-ONSEN TE background	625	0.8	15	24
BG_LTR_like_02536	Strict non-ONSEN TE background	926	0.8	24	25.9179265658747
BG_LTR_like_02539	Strict non-ONSEN TE background	254	0.8	3	11.8110236220472
BG_LTR_like_02540	Strict non-ONSEN TE background	1302	0.8	29	22.273425499232
BG_LTR_like_02541	Strict non-ONSEN TE background	621	0.8	10	16.1030595813205
BG_LTR_like_02542	Strict non-ONSEN TE background	262	0.8	1	3.81679389312977
BG_LTR_like_02543	Strict non-ONSEN TE background	651	0.8	13	19.9692780337942
BG_LTR_like_02544	Strict non-ONSEN TE background	283	0.8	7	24.7349823321555
BG_LTR_like_02545	Strict non-ONSEN TE background	650	0.8	13	20
BG_LTR_like_02546	Strict non-ONSEN TE background	288	0.8	6	20.8333333333333
BG_LTR_like_02549	Strict non-ONSEN TE background	459	0.8	3	6.5359477124183
BG_LTR_like_02550	Strict non-ONSEN TE background	263	0.8	4	15.2091254752852
BG_LTR_like_02551	Strict non-ONSEN TE background	1650	0.8	90	54.5454545454545
BG_LTR_like_02552	Strict non-ONSEN TE background	1274	0.8	81	63.5792778649922
BG_LTR_like_02553	Strict non-ONSEN TE background	824	0.8	36	43.6893203883495
BG_LTR_like_02556	Strict non-ONSEN TE background	593	0.8	21	35.4131534569983
BG_LTR_like_02557	Strict non-ONSEN TE background	211	0.8	8	37.914691943128
BG_LTR_like_02558	Strict non-ONSEN TE background	258	0.8	4	15.5038759689922
BG_LTR_like_02559	Strict non-ONSEN TE background	1810	0.8	40	22.0994475138122
BG_LTR_like_02560	Strict non-ONSEN TE background	1157	0.8	32	27.6577355229041
BG_LTR_like_02561	Strict non-ONSEN TE background	1215	0.8	38	31.2757201646091
BG_LTR_like_02565	Strict non-ONSEN TE background	1220	0.8	26	21.3114754098361
BG_LTR_like_02566	Strict non-ONSEN TE background	966	0.8	40	41.407867494824
BG_LTR_like_02567	Strict non-ONSEN TE background	200	0.8	20	100
BG_LTR_like_02568	Strict non-ONSEN TE background	1870	0.8	42	22.4598930481283
BG_LTR_like_02569	Strict non-ONSEN TE background	1866	0.8	34	18.2207931404073
BG_LTR_like_02570	Strict non-ONSEN TE background	518	0.8	21	40.5405405405405
BG_LTR_like_02573	Strict non-ONSEN TE background	1656	0.8	30	18.1159420289855
BG_LTR_like_02574	Strict non-ONSEN TE background	280	0.8	15	53.5714285714286
BG_LTR_like_02577	Strict non-ONSEN TE background	353	0.8	31	87.8186968838527
BG_LTR_like_02578	Strict non-ONSEN TE background	1275	0.8	36	28.2352941176471
BG_LTR_like_02581	Strict non-ONSEN TE background	813	0.8	54	66.4206642066421
BG_LTR_like_02582	Strict non-ONSEN TE background	1016	0.8	38	37.4015748031496
BG_LTR_like_02583	Strict non-ONSEN TE background	1943	0.8	16	8.23468862583634
BG_LTR_like_02584	Strict non-ONSEN TE background	1770	0.8	44	24.8587570621469
BG_LTR_like_02585	Strict non-ONSEN TE background	439	0.8	10	22.7790432801822
BG_LTR_like_02586	Strict non-ONSEN TE background	1197	0.8	30	25.062656641604
BG_LTR_like_02587	Strict non-ONSEN TE background	1128	0.8	28	24.822695035461
BG_LTR_like_02588	Strict non-ONSEN TE background	1130	0.8	41	36.283185840708
BG_LTR_like_02589	Strict non-ONSEN TE background	1579	0.8	43	27.2324255858138
BG_LTR_like_02590	Strict non-ONSEN TE background	620	0.8	25	40.3225806451613
BG_LTR_like_02593	Strict non-ONSEN TE background	620	0.8	24	38.7096774193548
BG_LTR_like_02594	Strict non-ONSEN TE background	366	0.8	4	10.9289617486339
BG_LTR_like_02595	Strict non-ONSEN TE background	1207	0.8	27	22.3695111847556
BG_LTR_like_02596	Strict non-ONSEN TE background	1532	0.8	31	20.2349869451697
BG_LTR_like_02597	Strict non-ONSEN TE background	201	0.8	6	29.8507462686567
BG_LTR_like_02598	Strict non-ONSEN TE background	279	0.8	11	39.426523297491
BG_LTR_like_02599	Strict non-ONSEN TE background	389	0.8	14	35.9897172236504
BG_LTR_like_02602	Strict non-ONSEN TE background	1234	0.8	60	48.6223662884927
BG_LTR_like_02605	Strict non-ONSEN TE background	905	0.8	49	54.1436464088398
BG_LTR_like_02606	Strict non-ONSEN TE background	900	0.8	30	33.3333333333333
BG_LTR_like_02607	Strict non-ONSEN TE background	894	0.8	11	12.3042505592841
BG_LTR_like_02608	Strict non-ONSEN TE background	528	0.8	27	51.1363636363636
BG_LTR_like_02611	Strict non-ONSEN TE background	693	0.8	21	30.3030303030303
BG_LTR_like_02612	Strict non-ONSEN TE background	1292	0.8	23	17.8018575851393
BG_LTR_like_02613	Strict non-ONSEN TE background	248	0.8	5	20.1612903225806
BG_LTR_like_02616	Strict non-ONSEN TE background	537	0.8	10	18.6219739292365
BG_LTR_like_02617	Strict non-ONSEN TE background	845	0.8	40	47.3372781065089
BG_LTR_like_02618	Strict non-ONSEN TE background	316	0.8	22	69.620253164557
BG_LTR_like_02619	Strict non-ONSEN TE background	345	0.8	16	46.3768115942029
BG_LTR_like_02620	Strict non-ONSEN TE background	1668	0.8	45	26.9784172661871
BG_LTR_like_02621	Strict non-ONSEN TE background	1067	0.8	36	33.7394564198688
BG_LTR_like_02622	Strict non-ONSEN TE background	1362	0.8	49	35.9765051395007
BG_LTR_like_02623	Strict non-ONSEN TE background	1218	0.8	43	35.303776683087
BG_LTR_like_02624	Strict non-ONSEN TE background	1259	0.8	37	29.3884034948372
BG_LTR_like_02625	Strict non-ONSEN TE background	233	0.8	2	8.58369098712446
